KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/rtkvhd64.sys,2024-06-30 15:47:46,2023-09-19 09:43:59,2023-09-22 05:55:22,rtkvhd64.sys,False,True,True,6357459,Realtek Semiconductor Corp.,3a265fed8ce8967cd77570a5cba0c52fbfc12d58,hdxlvsst.inf_amd64_3176a3da2d774300,262218,6.0.9579.1,6356992,oem48.inf,Realtek(r) High Definition Audio Function Driver,6.0.9579.1,intcazaudaddservice,
c:/windows/system32/drivers/rtwlane601.sys,2024-06-30 15:47:46,2023-10-30 08:43:58,2023-11-22 06:12:03,rtwlane601.sys,False,True,True,8764020,"Realtek Semiconductor Corporation                           ",37f55847ffcd06e3a0e13ae1545f14f1f0af44b1,netrtwlane601.inf_amd64_4428e6878f28ab12,262218,6001.15.123.312,8773632,oem59.inf,"Realtek  PCIEWireless LAN PCI-E NIC                                     ",6001.15.123.312,rtwlane601,1.13
c:/windows/system32/drivers/sbp2port.sys,2024-06-30 15:47:46,2033-11-04 15:52:36,2024-05-23 02:17:15,sbp2port.sys,True,True,True,196586,Microsoft Corporation,472a035fd0d0ad07eadcaed5abada9ceefea0a4a,,8650778,10.0.22621.2506,139264,,Microsoft® Windows® Operating System,10.0.22621.2506,sbp2port,
c:/windows/system32/drivers/scfilter.sys,2024-06-30 15:47:46,2035-12-28 09:33:17,2024-06-29 04:50:42,scfilter.sys,True,True,True,141060,Microsoft Corporation,d706aea50a4d66094d21701ef6c27fda098053f1,,8650778,10.0.22621.3733,81920,,Microsoft® Windows® Operating System,10.0.22621.1,scfilter,
c:/windows/system32/drivers/scmbus.sys,2024-06-30 15:47:46,1985-02-05 11:15:37,2024-05-23 02:17:16,scmbus.sys,True,True,True,251895,Microsoft Corporation,3ac333dcb887cd7177e5a1df3cc65da8333f6fbf,,8650778,10.0.22621.2506,212992,,Microsoft® Windows® Operating System,10.0.22621.1,scmbus,
c:/windows/system32/drivers/sdbus.sys,2024-06-30 15:47:46,2059-09-27 06:28:18,2024-06-29 04:50:18,sdbus.sys,True,True,True,366159,Microsoft Corporation,96cbc3e3722d7439a8507c81c31ce9abb5bacbd0,,8650778,10.0.22621.3672,331776,,Microsoft® Windows® Operating System,10.0.22621.1,sdbus,
c:/windows/system32/drivers/sdfrd.sys,2024-06-30 15:47:46,2036-05-30 06:28:01,2022-05-07 05:19:02,sdfrd.sys,True,True,True,74388,Microsoft Corporation,cbb16eacd9e32b8c408ec5366852e4ff0f0fcc00,,8650778,10.0.22621.1,61440,,Microsoft® Windows® Operating System,10.0.22621.1,sdfrd,
c:/windows/system32/drivers/sdstor.sys,2024-06-30 15:47:46,1981-09-24 10:50:32,2024-05-23 02:17:37,sdstor.sys,True,True,True,196089,Microsoft Corporation,64bc3b0a2f4524ab731e9ab889b2a3d1d395b9f6,,8650778,10.0.22621.2506,122880,,Microsoft® Windows® Operating System,10.0.22621.1,sdstor,
c:/windows/system32/drivers/sercx.sys,2024-06-30 15:47:46,2091-12-12 12:59:14,2022-05-07 05:19:23,sercx.sys,True,True,True,153459,Microsoft Corporation,67ac3c7abedc21bae70d68056a8d0de47e60ba1e,,8650778,10.0.22621.1,110592,,Microsoft® Windows® Operating System,10.0.22621.1,sercx,
c:/windows/system32/drivers/sercx2.sys,2024-06-30 15:47:46,2078-08-14 18:14:38,2024-05-23 02:17:36,sercx2.sys,True,True,True,244290,Microsoft Corporation,8f76b20b9e06f709524fe0a886475ea8c9676d4f,,8650778,10.0.22621.2506,196608,,Microsoft® Windows® Operating System,10.0.22621.2506,sercx2,
